2023-01-27 22:06:05,778 INFO    MainThread:22568 [wandb_setup.py:_flush():68] Configure stats pid to 22568
2023-01-27 22:06:05,779 INFO    MainThread:22568 [wandb_setup.py:_flush():68] Loading settings from /Users/harsha/.config/wandb/settings
2023-01-27 22:06:05,779 INFO    MainThread:22568 [wandb_setup.py:_flush():68] Loading settings from /Users/harsha/Documents/Restrictive_Sampling/wandb/settings
2023-01-27 22:06:05,779 INFO    MainThread:22568 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-27 22:06:05,779 INFO    MainThread:22568 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'training_harness.py', 'program': 'training_harness.py'}
2023-01-27 22:06:05,779 INFO    MainThread:22568 [wandb_init.py:_log_setup():476] Logging user logs to /Users/harsha/Documents/Restrictive_Sampling/wandb/run-20230127_220605-5ow1imf9/logs/debug.log
2023-01-27 22:06:05,779 INFO    MainThread:22568 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/harsha/Documents/Restrictive_Sampling/wandb/run-20230127_220605-5ow1imf9/logs/debug-internal.log
2023-01-27 22:06:05,779 INFO    MainThread:22568 [wandb_init.py:init():516] calling init triggers
2023-01-27 22:06:05,779 INFO    MainThread:22568 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2023-01-27 22:06:05,779 INFO    MainThread:22568 [wandb_init.py:init():569] starting backend
2023-01-27 22:06:05,779 INFO    MainThread:22568 [wandb_init.py:init():573] setting up manager
2023-01-27 22:06:05,788 INFO    MainThread:22568 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-01-27 22:06:05,791 INFO    MainThread:22568 [wandb_init.py:init():580] backend started and connected
2023-01-27 22:06:05,792 INFO    MainThread:22568 [wandb_init.py:init():658] updated telemetry
2023-01-27 22:06:05,805 INFO    MainThread:22568 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2023-01-27 22:06:06,583 INFO    MainThread:22568 [wandb_run.py:_on_init():2006] communicating current version
2023-01-27 22:06:06,951 INFO    MainThread:22568 [wandb_run.py:_on_init():2010] got version response upgrade_message: "wandb version 0.13.9 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-01-27 22:06:06,952 INFO    MainThread:22568 [wandb_init.py:init():728] starting run threads in backend
2023-01-27 22:06:11,968 INFO    MainThread:22568 [wandb_run.py:_console_start():1986] atexit reg
2023-01-27 22:06:11,969 INFO    MainThread:22568 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2023-01-27 22:06:11,969 INFO    MainThread:22568 [wandb_run.py:_redirect():1909] Wrapping output streams.
2023-01-27 22:06:11,969 INFO    MainThread:22568 [wandb_run.py:_redirect():1931] Redirects installed.
2023-01-27 22:06:11,969 INFO    MainThread:22568 [wandb_init.py:init():765] run started, returning control to user process
